Date,T,RH,WD,WS
2017-06-03 00:01:00,-3.33,74.71,139.9,6.32
2017-06-03 00:02:00,-3.341,74.704,140.35,6.321000000000001
2017-06-03 00:03:00,-3.352,74.698,140.8,6.322
2017-06-03 00:04:00,-3.363,74.692,141.25,6.323
2017-06-03 00:05:00,-3.374,74.68599999999999,141.70000000000002,6.324
2017-06-03 00:06:00,-3.385,74.68,142.15,6.325
2017-06-03 00:07:00,-3.396,74.674,142.6,6.3260000000000005
2017-06-03 00:08:00,-3.407,74.668,143.05,6.327
2017-06-03 00:09:00,-3.418,74.662,143.5,6.328
2017-06-03 00:10:00,-3.429,74.656,143.95000000000002,6.329
2017-06-03 00:11:00,-3.44,74.65,144.4,6.33
2017-06-03 00:12:00,-3.4459999999999997,74.625,144.22,6.328
2017-06-03 00:13:00,-3.452,74.60000000000001,144.04,6.326
2017-06-03 00:14:00,-3.458,74.575,143.86,6.324
2017-06-03 00:15:00,-3.464,74.55000000000001,143.68,6.322
2017-06-03 00:16:00,-3.4699999999999998,74.525,143.5,6.32
2017-06-03 00:17:00,-3.476,74.5,143.32,6.318
2017-06-03 00:18:00,-3.482,74.47500000000001,143.14,6.316
2017-06-03 00:19:00,-3.488,74.45,142.96,6.314
2017-06-03 00:20:00,-3.4939999999999998,74.42500000000001,142.78,6.311999999999999
2017-06-03 00:21:00,-3.5,74.4,142.6,6.31
2017-06-03 00:22:00,-3.516,74.412,142.56,6.31
2017-06-03 00:23:00,-3.532,74.424,142.51999999999998,6.31
2017-06-03 00:24:00,-3.548,74.436,142.48,6.31
2017-06-03 00:25:00,-3.564,74.44800000000001,142.44,6.31
2017-06-03 00:26:00,-3.58,74.46000000000001,142.39999999999998,6.31
2017-06-03 00:27:00,-3.596,74.472,142.35999999999999,6.31
2017-06-03 00:28:00,-3.612,74.484,142.32,6.31
2017-06-03 00:29:00,-3.628,74.496,142.28,6.31
2017-06-03 00:30:00,-3.644,74.508,142.23999999999998,6.31
2017-06-03 00:31:00,-3.66,74.52,142.2,6.31
2017-06-03 00:32:00,-3.68,74.535,141.91,6.295
2017-06-03 00:33:00,-3.7,74.55,141.62,6.279999999999999
2017-06-03 00:34:00,-3.72,74.565,141.32999999999998,6.265
2017-06-03 00:35:00,-3.74,74.58,141.04,6.25
2017-06-03 00:36:00,-3.76,74.595,140.75,6.234999999999999
2017-06-03 00:37:00,-3.78,74.61,140.46,6.22
2017-06-03 00:38:00,-3.8,74.625,140.17000000000002,6.205
2017-06-03 00:39:00,-3.82,74.64,139.88,6.19
2017-06-03 00:40:00,-3.84,74.655,139.59,6.175
2017-06-03 00:41:00,-3.86,74.67,139.3,6.16
2017-06-03 00:42:00,-3.876,74.668,139.15,6.1450000000000005
2017-06-03 00:43:00,-3.892,74.666,139.0,6.13
2017-06-03 00:44:00,-3.908,74.664,138.85000000000002,6.115
2017-06-03 00:45:00,-3.924,74.662,138.70000000000002,6.1
2017-06-03 00:46:00,-3.9399999999999995,74.66,138.55,6.085
2017-06-03 00:47:00,-3.9559999999999995,74.658,138.4,6.07
2017-06-03 00:48:00,-3.9719999999999995,74.656,138.25,6.055
2017-06-03 00:49:00,-3.9879999999999995,74.65400000000001,138.10000000000002,6.04
2017-06-03 00:50:00,-4.004,74.652,137.95000000000002,6.0249999999999995
2017-06-03 00:51:00,-4.02,74.65,137.8,6.01
2017-06-03 00:52:00,-4.028,74.62700000000001,137.86,6.013
2017-06-03 00:53:00,-4.036,74.604,137.92000000000002,6.016
2017-06-03 00:54:00,-4.044,74.581,137.98000000000002,6.019
2017-06-03 00:55:00,-4.052,74.558,138.04000000000002,6.022
2017-06-03 00:56:00,-4.06,74.535,138.10000000000002,6.025
2017-06-03 00:57:00,-4.068,74.512,138.16,6.028
2017-06-03 00:58:00,-4.076,74.489,138.22,6.031
2017-06-03 00:59:00,-4.084,74.46600000000001,138.28,6.034
2017-06-03 01:00:00,-4.092,74.443,138.34,6.037
2017-06-03 01:01:00,-4.1,74.42,138.4,6.04
2017-06-03 01:02:00,-4.109,74.397,138.09,6.043
2017-06-03 01:03:00,-4.117999999999999,74.374,137.78,6.046
2017-06-03 01:04:00,-4.127,74.351,137.47,6.049
2017-06-03 01:05:00,-4.136,74.328,137.16,6.0520000000000005
2017-06-03 01:06:00,-4.145,74.305,136.85000000000002,6.055
2017-06-03 01:07:00,-4.154,74.282,136.54000000000002,6.058
2017-06-03 01:08:00,-4.163,74.259,136.23000000000002,6.061
2017-06-03 01:09:00,-4.172000000000001,74.236,135.92000000000002,6.064
2017-06-03 01:10:00,-4.181,74.213,135.61,6.067
2017-06-03 01:11:00,-4.19,74.19,135.3,6.07
2017-06-03 01:12:00,-4.188000000000001,74.155,135.84,6.086
2017-06-03 01:13:00,-4.186,74.12,136.38,6.102
2017-06-03 01:14:00,-4.184,74.085,136.92000000000002,6.118
2017-06-03 01:15:00,-4.182,74.05,137.46,6.134
2017-06-03 01:16:00,-4.18,74.015,138.0,6.15
2017-06-03 01:17:00,-4.178,73.98,138.54,6.166
2017-06-03 01:18:00,-4.176,73.94500000000001,139.07999999999998,6.182
2017-06-03 01:19:00,-4.174,73.91,139.62,6.198
2017-06-03 01:20:00,-4.172,73.875,140.16,6.214
2017-06-03 01:21:00,-4.17,73.84,140.7,6.23
2017-06-03 01:22:00,-4.171,73.808,140.79999999999998,6.261
2017-06-03 01:23:00,-4.172,73.776,140.89999999999998,6.292000000000001
2017-06-03 01:24:00,-4.173,73.744,141.0,6.323
2017-06-03 01:25:00,-4.1739999999999995,73.712,141.1,6.354
2017-06-03 01:26:00,-4.175,73.68,141.2,6.385
2017-06-03 01:27:00,-4.176,73.648,141.29999999999998,6.416
2017-06-03 01:28:00,-4.177,73.616,141.39999999999998,6.447
2017-06-03 01:29:00,-4.178,73.584,141.5,6.478
2017-06-03 01:30:00,-4.178999999999999,73.55199999999999,141.6,6.509
2017-06-03 01:31:00,-4.18,73.52,141.7,6.54
2017-06-03 01:32:00,-4.181,73.482,141.35999999999999,6.522
2017-06-03 01:33:00,-4.1819999999999995,73.444,141.01999999999998,6.5040000000000004
2017-06-03 01:34:00,-4.183,73.40599999999999,140.68,6.486
2017-06-03 01:35:00,-4.184,73.368,140.34,6.468
2017-06-03 01:36:00,-4.1850000000000005,73.33,140.0,6.45
2017-06-03 01:37:00,-4.186,73.292,139.66,6.432
2017-06-03 01:38:00,-4.187,73.254,139.32,6.414000000000001
2017-06-03 01:39:00,-4.188000000000001,73.216,138.98000000000002,6.396
2017-06-03 01:40:00,-4.189,73.178,138.64000000000001,6.378
2017-06-03 01:41:00,-4.19,73.14,138.3,6.36
2017-06-03 01:42:00,-4.191000000000001,73.116,138.4,6.3580000000000005
2017-06-03 01:43:00,-4.192,73.092,138.5,6.356
2017-06-03 01:44:00,-4.1930000000000005,73.068,138.60000000000002,6.354
2017-06-03 01:45:00,-4.194,73.044,138.70000000000002,6.352
2017-06-03 01:46:00,-4.195,73.02000000000001,138.8,6.35
2017-06-03 01:47:00,-4.196000000000001,72.99600000000001,138.9,6.348
2017-06-03 01:48:00,-4.197,72.97200000000001,139.0,6.346
2017-06-03 01:49:00,-4.198,72.94800000000001,139.10000000000002,6.344
2017-06-03 01:50:00,-4.199,72.924,139.20000000000002,6.342
2017-06-03 01:51:00,-4.2,72.9,139.3,6.34
2017-06-03 01:52:00,-4.191,72.82000000000001,139.48000000000002,6.378
2017-06-03 01:53:00,-4.182,72.74000000000001,139.66,6.4159999999999995
2017-06-03 01:54:00,-4.173,72.66,139.84,6.454
2017-06-03 01:55:00,-4.164000000000001,72.58,140.02,6.492
2017-06-03 01:56:00,-4.155,72.5,140.2,6.529999999999999
2017-06-03 01:57:00,-4.146,72.42,140.38,6.568
2017-06-03 01:58:00,-4.1370000000000005,72.34,140.56,6.606
2017-06-03 01:59:00,-4.128,72.25999999999999,140.74,6.644
2017-06-03 02:00:00,-4.119000000000001,72.17999999999999,140.92,6.6819999999999995
2017-06-03 02:01:00,-4.11,72.1,141.1,6.72
2017-06-03 02:02:00,-4.102,72.042,141.06,6.708
2017-06-03 02:03:00,-4.094,71.984,141.01999999999998,6.696
2017-06-03 02:04:00,-4.086,71.92599999999999,140.98,6.683999999999999
2017-06-03 02:05:00,-4.078,71.868,140.94,6.672
2017-06-03 02:06:00,-4.07,71.81,140.89999999999998,6.66
2017-06-03 02:07:00,-4.062,71.752,140.85999999999999,6.648
2017-06-03 02:08:00,-4.054,71.69399999999999,140.82,6.635999999999999
2017-06-03 02:09:00,-4.046,71.636,140.78,6.624
2017-06-03 02:10:00,-4.038,71.578,140.73999999999998,6.612
2017-06-03 02:11:00,-4.03,71.52,140.7,6.6
2017-06-03 02:12:00,-4.045,71.517,140.56,6.590999999999999
2017-06-03 02:13:00,-4.0600000000000005,71.514,140.42,6.582
2017-06-03 02:14:00,-4.075,71.511,140.28,6.5729999999999995
2017-06-03 02:15:00,-4.09,71.508,140.14,6.564
2017-06-03 02:16:00,-4.105,71.505,140.0,6.555
2017-06-03 02:17:00,-4.12,71.502,139.86,6.545999999999999
2017-06-03 02:18:00,-4.135,71.499,139.72,6.537
2017-06-03 02:19:00,-4.1499999999999995,71.496,139.58,6.528
2017-06-03 02:20:00,-4.165,71.493,139.44,6.519
2017-06-03 02:21:00,-4.18,71.49,139.3,6.51
2017-06-03 02:22:00,-4.186999999999999,71.509,139.17000000000002,6.5089999999999995
2017-06-03 02:23:00,-4.194,71.52799999999999,139.04000000000002,6.508
2017-06-03 02:24:00,-4.201,71.547,138.91,6.507
2017-06-03 02:25:00,-4.208,71.566,138.78,6.506
2017-06-03 02:26:00,-4.215,71.58500000000001,138.65,6.505
2017-06-03 02:27:00,-4.2219999999999995,71.604,138.52,6.504
2017-06-03 02:28:00,-4.229,71.623,138.39000000000001,6.503
2017-06-03 02:29:00,-4.236,71.64200000000001,138.26,6.502
2017-06-03 02:30:00,-4.243,71.661,138.13,6.501
2017-06-03 02:31:00,-4.25,71.68,138.0,6.5
2017-06-03 02:32:00,-4.267,71.69500000000001,137.85,6.502
2017-06-03 02:33:00,-4.284,71.71000000000001,137.7,6.504
2017-06-03 02:34:00,-4.301,71.72500000000001,137.55,6.506
2017-06-03 02:35:00,-4.318,71.74000000000001,137.4,6.508
2017-06-03 02:36:00,-4.335,71.755,137.25,6.51
2017-06-03 02:37:00,-4.352,71.77,137.1,6.512
2017-06-03 02:38:00,-4.369,71.785,136.95,6.513999999999999
2017-06-03 02:39:00,-4.386,71.8,136.8,6.516
2017-06-03 02:40:00,-4.403,71.815,136.65,6.518
2017-06-03 02:41:00,-4.42,71.83,136.5,6.52
2017-06-03 02:42:00,-4.432,71.856,136.12,6.518999999999999
2017-06-03 02:43:00,-4.444,71.882,135.74,6.518
2017-06-03 02:44:00,-4.4559999999999995,71.908,135.35999999999999,6.5169999999999995
2017-06-03 02:45:00,-4.468,71.934,134.98,6.516
2017-06-03 02:46:00,-4.48,71.96000000000001,134.6,6.515
